gene_id,s_mtsc_complete_wt_rep2,s_mtsc_ezr_d1_td_single_tdbl_rep2,s_mtsc_klf5_a3_tdbl_first_half_rep2,s_mtsc_krt8_18_f7_tftd_dis_insertion_tf,s_mtsc_krt8_18_h9_tftd_dis_insertion_tf,s_mtsc_rin3_g2_tftd_dis_homozy_del_rep2
ENSMUSG00000002395,2017,2633,2811,2665,2520,2675
ENSMUSG00000002396,208,196,211,209,269,253
ENSMUSG00000002409,172,257,247,334,228,327
ENSMUSG00000002413,5249,5955,3767,5212,5817,5826
ENSMUSG00000002416,933,1059,1166,1055,1072,1259
ENSMUSG00000002428,5558,7787,4903,6811,8077,7031
ENSMUSG00000002455,10203,12145,12345,11740,12590,12167
ENSMUSG00000002458,1670,2117,2040,1915,1863,1841
ENSMUSG00000002459,60,62,51,81,156,114
ENSMUSG00000002475,117,156,124,170,78,173
ENSMUSG00000002477,8565,9981,11506,10856,10009,9395
ENSMUSG00000002486,1118,1225,1183,1122,1298,1260
ENSMUSG00000002489,2501,2220,1908,2952,3038,2715
ENSMUSG00000002496,7468,8076,8236,7684,8550,8629
ENSMUSG00000002500,2,5,7,4,5,1
ENSMUSG00000002504,786,912,917,984,966,890
ENSMUSG00000002524,9060,11443,11381,11253,11144,11445
ENSMUSG00000002546,2458,2896,2551,2776,2925,3128
ENSMUSG00000002550,1742,2096,2058,2022,2379,2002
ENSMUSG00000002565,165,106,106,151,226,69
ENSMUSG00000002578,516,434,372,543,562,456
ENSMUSG00000002580,1644,1984,1809,1905,1785,2071
ENSMUSG00000002588,0,0,1,0,0,0
ENSMUSG00000002602,3,3,1,15,5,2
ENSMUSG00000002603,1432,1786,1539,1332,1918,1470
ENSMUSG00000002608,1491,1788,2252,2032,2026,1755
ENSMUSG00000002617,90,104,63,104,84,37
ENSMUSG00000002625,3491,3906,4703,3445,4555,4490
ENSMUSG00000002633,3,1,1,3,1,0
ENSMUSG00000002635,864,1086,1074,1011,1136,1066
ENSMUSG00000002658,6572,7844,8159,8278,8009,8341
ENSMUSG00000002660,4528,5128,5396,5262,5285,5015
ENSMUSG00000002661,528,619,652,610,631,632
ENSMUSG00000002664,0,2,2,3,4,0
ENSMUSG00000002668,37,144,78,80,19,150
ENSMUSG00000002679,1810,2287,1933,2393,2324,2171
ENSMUSG00000002688,62,98,63,102,83,73
ENSMUSG00000002699,0,1,0,0,0,0
ENSMUSG00000002718,22550,25760,20923,24356,25798,27135
ENSMUSG00000002728,5243,6110,5466,6456,6538,6827
ENSMUSG00000002731,1066,1245,1181,1230,1460,1301
ENSMUSG00000002732,75,77,63,102,65,129
ENSMUSG00000002733,2801,3688,2689,3745,3065,3897
ENSMUSG00000002741,6776,8052,7257,8165,8018,8376
ENSMUSG00000002748,14185,16428,12778,16838,15787,17212
ENSMUSG00000002763,3040,3861,4036,3575,4215,3403
ENSMUSG00000002767,4554,5608,5785,4773,5405,5930
ENSMUSG00000002768,3551,4379,4253,3925,4236,4670
ENSMUSG00000002769,310,301,302,285,323,470
ENSMUSG00000002771,260,286,306,324,284,312
